,_time,_measurement,co2,humidity,temperature
0,2023-12-14 01:05:03.652975+00:00,08B7,986.0,27.3,27.1
1,2023-12-14 01:05:34.547537+00:00,08B7,985.0,27.1,27.1
2,2023-12-14 01:06:06.691850+00:00,08B7,983.0,27.2,27.1
3,2023-12-14 01:06:36.429420+00:00,08B7,983.0,27.2,27.1
4,2023-12-14 01:07:07.361696+00:00,08B7,982.0,27.2,27.1
5,2023-12-14 01:07:38.301406+00:00,08B7,981.0,27.3,27.1
6,2023-12-14 01:08:09.310058+00:00,08B7,979.0,27.2,27.1
7,2023-12-14 01:08:40.142028+00:00,08B7,979.0,27.1,27.1
8,2023-12-14 01:09:11.063204+00:00,08B7,978.0,27.3,27.1
9,2023-12-14 01:09:41.995901+00:00,08B7,977.0,27.3,27.1
10,2023-12-14 01:10:12.925688+00:00,08B7,974.0,27.2,27.1
11,2023-12-14 01:10:43.860174+00:00,08B7,971.0,27.2,27.1
12,2023-12-14 01:11:14.852855+00:00,08B7,972.0,27.3,27.1
13,2023-12-14 01:11:45.797222+00:00,08B7,973.0,27.3,27.1
14,2023-12-14 01:12:16.707432+00:00,08B7,974.0,27.3,27.1
15,2023-12-14 01:12:47.637326+00:00,08B7,975.0,27.3,27.1
16,2023-12-14 01:13:18.554765+00:00,08B7,975.0,27.3,27.1
17,2023-12-14 01:13:49.491266+00:00,08B7,977.0,27.5,27.1
18,2023-12-14 01:14:20.816179+00:00,08B7,979.0,27.4,27.1
19,2023-12-14 01:14:51.332121+00:00,08B7,981.0,27.5,27.1
